sentence,processing_sentence
고객요청사항안됨상담중자연회복됨,고객 요청사 항 안됨 상담 중 자연 회복됨
고객요청사항수신불인터넷연결오류뜸재부팅해봄모텔영업용 일중꼭점검원하여 지사이관함회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신불인터넷 연결 오류 뜸 재부팅해 봄 모텔 영업용 일 중 꼭 점검 원하여 지 사이 관함 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항수신불회선단말특이사항진단결과기타추가연락처연후방,고객 요청사항 수 선불 회선 단말 특이사항 진단 결과 기타 추가 연락처 연후방
수신불 네트워크오류 접수보류,수신 불 네트워크 오류 접수 보류
고객요청사항수신불연락후 회선단말특이사항진단결과기타추가연락처인입,고객 요청사항 수신 불 연락 후 회선단 말이 특이 사항 진단 결과 기타 추가 연락처인 입
고객요청사항 채널은 정상 넷플릭스안됨 포트리셋 미리연락후방문요망  회선단말특이사항진단결과기타추가연락처,고객 요청사항 채널은 정상 넷플릭스 안됨 포트 리셋 미리 연락 후 방문 요망 회선단 말이 특이 사항 진단 결과 기타 추가 연락처
고객요청사항수신불 서비스시작중  회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불 서비스 시작 중 회선 단말 특이사항 진단 결과 기타 추가 연락처
김현철 채팅  지니자체에서 잡음이 난다고함고장접수함고객요청사항셋탑이상지니자체에서 따다다다 거리는 소리가 계속 나다고함동일증상으로 일경 받았으나 또 소리가 난다고함재부팅 해도 동일연후방회선단말특이사항진단결과기타추가연락처,김현철 채팅 지니 자체에서 잡음이 난다고 함 소장 접수함 고객 요청사항 셋탑 이상 지니 자체에서 따다 다다 거리는 소리가 계속 나다고 합동일 증상으로 일 경 받았으나 또 소리가 난다고 함 재부팅 해도 동일 연 후방 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항  나오나따닥거리는소리가난다함리셋후잘됨회선단말특이사항진단결과기타추가연락처,고객 요청사항 나오나 따닥거리는 소리가 난다 한 리셋 후 잘 됨 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항화질불량시청중 멈추는증상반복됨연락후회선단말특이사항진단결과기타추가연락처인입,고객 요청사항 화질 불량 시청 중 멈추는 증상 반복됨 연락 우회선 단말 특이사항 진단 결과 기타 추가 연락처인 입
고객요청사항수신불회선단말특이사항진단결과기타추가연락처연후방,고객 요청사항 수 선불 회선 단말 특이사항 진단 결과 기타 추가 연락처 연후방
고객요청사항 수신불     연락후최대한빠른방문요망 회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불 연락 후 최대한 빠른 방문 요망 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항 채널정상 넷플릭스만안됨 포트리셋 연락후최대한빠른방문요망 회선단말특이사항진단결과기타추가연락처,고객 요청사항 채널 정상 넷플릭스만 안됨 포트 리셋 연락 후 최대한 빠른 방문 요망 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항수신불스트림에러자연회복회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불 스트림 에러 자 연 회복해선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항안됨리셋후정상,고객 요청사 항 안됨 리셋 후 정상
안심권유인터넷지킴이가입수신불재부팅안내후 정상사용됨,안심 권유 인터넷 지킴이가 입구 신불 재부팅 안내 후 정상 사용됨
고객요청사항넷플릭스실행불가리셋후잘됨안심권유회선단말특이사항진단결과기타추가연락처,고객 요청사항 넷플릭스 실행 불가리 셋 후 잘 됨 안심 권유 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항수신불 최대한빠른점검요 회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불 최대한 빠른 점검요 회선 단말 특이사항 진단 결과 기타 추가 연락처
 리모컨 안됨리모컨에 불 계속 켜짐매장 안내,리모컨 안됨 리모컨에 불 계속 켜짐 매장 안내
수신불셋탑 재부팅정상확인됨,수신 불셋탑 재부팅 정상 확인됨
리모컨 작동불셋탑 재부팅 후 정상사용됨,리모컨 작동 불셋탑 재부팅 후 정상 사용됨
고객요청사항 전원안들어옴고객측의뢰,고객 요청사항 전 원안 들어옴 고객 측 의뢰
고객요청사항 전원안들어옴고객측의뢰,고객 요청사항 전 원안 들어옴 고객 측 의뢰
고객요청사항채널수신불량회선단말특이사항시험결과기타추가연락처 코로나미대상,고객 요청사항 채널 수신 불량 회선 단말 특이사항 시험 결과 기타 추가 연락처 코로나 미 대상
안됨신없음외부입력확인셋탑재부팅해도동일보류,안됨 신 없음 외부 입력 확인 셋탑재 부팅해도 동일 보류
고객요청사항수신불 되도록 일 오전 방문요청회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불 되도록 일 오전 방문 요청회 선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항현재수신불 평소화면끊어짐코로나미대상회선단말특이사항진단결과기타추가연락처,고객 요청사항 현재 수신 불 평소 화면 끊어짐 코로나 미 대상 회선 단말 특이사항 진단 결과 기타 추가 연락처
요청사항안됨인터넷연결오류재부팅해도동일방문시간참고,요청사항 안됨 인터넷 연결 오류 재부팅해도 동일 방문 시간 참고
고객요청사항수신불재부팅후정상사용됨회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불 재부팅 후 정상 사용됨 회선 단말 특이사항 진단 결과 기타 추가 연락처
요청사항안됨신없음외부입력변경후정상사용됨,요청사항 안됨 신 없음 외부 입력 변경 후 정상 사용됨
 올레티비 음향 안들림셋탑 리셋 이후 올레티비 정상 음향 들림,올레티브이 음향 안 들림 셋탑 리셋 이후 올레티브이 정상 음향 들림
수신불과 리모컨 반응느림 셋탑리셋후정상,수신 불과 리모컨 반응 느림 셋톱 리셋 후 정상
고객요청사항수신불인터넷연결오류뜸급점검지연된다고 민원심최대한빠른점검요회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신불인터넷 연결 오류 뜸 급 점검 지연된다고 민원실 최대한 빠른 점검 요 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항 안됨,고객 요청사항 안 됨
요청사항조회안됨전원적색점등수동눌러도반응없음셋탑재부팅해도동일방문시간참고,요청사항 조회 안됨 전원 적색점 등 수동 눌러도 반응 없음셋탑재 부팅해도 동일 방문 시간 참고
고객요청사항수신불기가지니전원안들어옴기가지니에 연결된 랜선도 헐거워져서 자꾸 빠진다고 랜선교체도요청함회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불기가 지니 전 원안 들어 옴기가 지니에 연결된 랜 선도 헐거워져서 자꾸 빠진다고 랜 선교 채도 요청함 회선 단말 특이사항 진단 결과 기타 추가 연락처
