,Label,sentence
0,원인불명>조치 전 자연 회복,고객 요청사항 호안됨 상담 중 자연회복됨
1,실시간 채널>네트워크 오류,고객 요청사항 호수신불인터넷 연결오류 뜸재부팅해 봄 모텔 영업용 일 중 꼭 점검원하여 지 사이관함회선 단말특이사항 진단 결과 기타 추가 연락처
2,실시간 채널>수신 불량,고객 요청사항 호수신불회선 단말특이사항 진단 결과 기타 추가 연락처 연후방
3,실시간 채널>네트워크 오류,수신 불 네트워크 오류 접수 보류
4,실시간 채널>수신 불량,고객 요청사항 수신불 연락 후 회선단말특이사항 진단 결과 기타 추가 연락처인 입
5,단말>STB(작동)이상,고객 요청사항 채널은 정상 넷플릭스 안됨 포트리셋 미리 연락 후 방문 요망 회선단말특이사항 진단 결과 기타 추가 연락처
6,단말>STB(부팅) 이상>부팅중 오류메시지 발생,고객 요청사항 호수신불 서비스 시작 중 회선 단말특이사항 진단 결과 기타 추가 연락처
7,단말>STB(작동)이상,김현철 채팅 지니 자체에서 잡음이 난다고 함고장 접수 함 고객 요청사항 셋탑이상지니 자체에서 따다 다다 거리는 소리가 계속 나다고 함동일 증상으로 일 경 받았으나 또 소리가 난다고 함재부팅 해도 동일 연 후방 회선 단말특이사항 진단 결과 기타 추가 연락처
8,실시간 채널>음성 이상,고객 요청사항 나오나 따닥거리는 소리가 난다함리셋 후 잘됨회선 단말특이사항 진단 결과 기타 추가 연락처
9,VOD/컨텐츠>화질 이상,고객 요청사항 화질 불량 시청 중 멈추는 증상 반복됨 연락 후회선 단말특이사항 진단 결과 기타 추가 연락처인 입
10,실시간 채널>수신 불량,고객 요청사항 수신불회선 단말특이사항 진단 결과 기타 추가 연락처 연후방
11,실시간 채널>수신 불량,고객 요청사항 수신 불 연락 후 최대한 빠른 방문 요망 회선 단말특이사항 진단 결과 기타 추가 연락처
12,단말>STB(작동)이상,고객 요청사항 채널 정상 넷플릭스만 안됨 포트리셋 연락 후 최대한 빠른 방문 요망 회선 단말 특이사항 진단 결과 기타 추가 연락처
13,원인불명>조치 전 자연 회복,고객 요청사항 수신불스트림에러 자 연회복회선 단말특이사항 진단 결과 기타 추가 연락처
14,실시간 채널>수신 불량,고객 요청사 항 안됨리셋 후 정상
15,실시간 채널>수신 불량,안심권유 인터넷 지킴이가 입수신불재부팅 안내 후 정상 사용됨
16,단말>STB(작동)이상,고객 요청사항 넷플릭스 실행 불가리셋 후 잘됨 안심권유회선 단말특이사항 진단 결과 기타 추가 연락처
17,실시간 채널>수신 불량,고객 요청사항 수신 불 최대한 빠른 점검요 회선 단말특이사항 진단 결과 기타 추가 연락처
18,단말>리모컨작동불가>M&S내방안내,리모컨 안됨 리모컨에 불 계속 켜짐 매장 안내
19,실시간 채널>수신 불량,수신 불셋탑 재부팅 정상 확인됨
20,단말>리모컨작동불가>기타문의,리모컨 작동 불셋탑 재부팅 후 정상 사용됨
21,"고객원인>부주의, ID/PW 분실 등",고객 요청사항 전원안 들어옴고객 측의뢰
22,"고객원인>부주의, ID/PW 분실 등",고객 요청사항 전원안 들어옴고객 측의뢰
23,실시간 채널>수신 불량,고객 요청사항 채널 수신 불량회선 단말특이사항 시험 결과 기타 추가 연락처 코로나 미 대상
24,실시간 채널>수신 불량,안됨 신호 없음 외부 입력 확인 셋탑재 부팅해도 동일 보류
25,실시간 채널>수신 불량,고객 요청사항 수신 불 되도록 일 오전 방문 요청회 선 단말특이사항 진단 결과 기타 추가 연락처
26,실시간 채널>수신 불량,고객 요청사항 현재 수신 불 평소 화면 끊어짐 코로나 미 대상회선 단말특이사항 진단 결과 기타 추가 연락처
27,실시간 채널>네트워크 오류,요청사항 안됨인터넷 연결오류재부팅해도 동일 방문시간 참고
28,실시간 채널>수신 불량,고객 요청사항 수신 불재부팅 후 정상 사용됨회선 단말특이사항 진단 결과 기타 추가 연락처
29,실시간 채널>수신 불량,요청사항 안됨 신호 없음 외부 입력 변경 후 정상 사용됨
30,실시간 채널>음성 이상,올레티비 음향 안 들림셋탑 리셋 이후 올레티비 정상 음향 들림
31,실시간 채널>수신 불량,수신불과 리모컨 반응 느림 셋탑리셋 후 정상
32,실시간 채널>네트워크 오류,고객 요청사항 수신불인터넷 연결오류 뜸 급 점검 지연된다고 민원심 최대한 빠른 점검 요회선 단말특이사항 진단 결과 기타 추가 연락처
33,실시간 채널>수신 불량,고객 요청사항 안 됨
34,단말>STB(작동)이상,요청사항 호조회 안됨 전원 적색점 등 수동 눌러도 반응 없음셋탑재 부팅해도 동일 방문 시간 참고
35,단말>STB(작동)이상,고객 요청사항 수신 불기가 지니 전원안 들어 옴기가 지니에 연결된 랜 선도 헐거워져서 자꾸 빠진다고 랜 선교체도 요청함 회선 단말특이사항 진단 결과 기타 추가 연락처
36,실시간 채널>수신 불량,고객 요청사항 큰 방수 신불 코로나미 대상회선 단말특이사항 진단 결과 기타 추가 연락처
37,실시간 채널>수신 불량,요청사항 안됨 방문해서 확인 요청함 연결된 지니대는 정상 방문 시간 참고인
38,"고객원인>부주의, ID/PW 분실 등",올레티비 시청 안됨 티비 전원 안 켜짐 고객 측 의뢰 안내함
39,실시간 채널>수신 불량,고객 요청사항 방수신불시 방문요회선 단말특이사항 진단 결과 기타 추가 연락처
40,실시간 채널>네트워크 오류,고객 요청사항 채널 수신 불량인터넷 연결오류 회선 단말특이사항 시험 결과 기타 추가 연락처 코로나 미 대상
41,실시간 채널>수신 불량,고객 요청사항 차단기 내려간 후 수신불회선 단말특이사항 진단 결과 기타 추가 연락처 코로나 미 대상
42,실시간 채널>수신 불량,고객 요청사항 안 됨
43,실시간 채널>네트워크 오류,고객 요청사항 수신 불 네트워크 오류 최대한 빠른 점검 요청 회선 단말 특이사항 진단 결과 기타 추가 연락처
44,실시간 채널>수신 불량,수신 불호방 쪽만 안됨 셋탑재 부팅 후 정상
45,실시간 채널>네트워크 오류,고객 요청사항 수신불인터넷 연결오류 뜸재부팅해 봄 연락 먼저 회선 단말특이사항 진단 결과 기타 추가 연락처
46,실시간 채널>화질 이상,고객 요청사항 가능한 일방 요 분 정도 시청되면 화면 꺼짐 소리 정상회선 단말특이사항 진단 결과 기타 추가 연락처 코로나 미 대상
47,단말>STB(작동)이상,요청사항 일반 아들 방안됨 전원 적색점 등재부팅해도 동일 기량 자 방문 요청함 방문 시간 참고
48,단말>STB(작동)이상,고객 요청사항 안됨셋 탑 전원 빨간불껏 다 켜도 아무 반응 없음 최대한 빠른 방문 요청
49,"고객원인>부주의, ID/PW 분실 등",고객 요청사항 원룸 새로 입주 후 수신 불 호 세탑이 전혀 연결되어 있지 않음 취소 건 있음 일 방문 요청 일은 늦게 근무해서 수리를 받을 수 없다고 하심 회선 단말특이사항 진단 결과 기타 추가 연락처
50,단말>STB(작동)이상,채팅 올레티비 시청 안됨셋탑 계속 꺼진다고 하심 리셋 해도 마찬가지 점검 요청 접수해 드림셋탑 교체도 원하심 고객 요청사항 회선 단말특이사항 진단 결과 기타 추가 연락 처 방문 전 연락 요청
51,단말>STB(작동)이상,고객 요청사항 수신 불셋탑이상 전원만 빨간불 들어오고 수동 조작도 안됨 안방 쪽만 안됨 코로나 이 상무연 후방 회선 단말특이사항 진단 결과 기타 추가 연락처
52,실시간 채널>수신 불량,요청사항 시청 중 화면 흔들리고 블랙 화면으로 멈춰 진행 안됨재부팅해야 사용됨 리모컨 일부 버튼 작동 불방문 시간 참고
53,단말>리모컨작동불가>현장출동,고객 요청사항 스마트 셋탑 리모콘 안 됨기사 방문 요청함회선 단말특이사항 진단 결과 기타 추가 연락처
54,실시간 채널>네트워크 오류,고객 요청사 항 안됨 거실 인터넷 연결오류 최대한 독촉
55,단말>STB(작동)이상,고객 요청사항 미리 연 후방 요 기가 지니 전원 회선 단말 특이사항 진단 결과 기타 추가 연락처
